no,name,type,ingredients,price,size,vegetarian,dairy,fish,ingredient_count
85,Tutta Bella,Pizza,"tomato, cheese, ricotta, eggplant, vitello",72,regular,False,True,False,5
85,Tutta Bella,Pizza,"tomato, cheese, ricotta, eggplant, vitello",120,family,False,True,False,5
86,Sant´Agata,Pizza,"tomato, cheese, spinach, pesto, salami, parmesan",72,regular,False,True,False,6
86,Sant´Agata,Pizza,"tomato, cheese, spinach, pesto, salami, parmesan",120,family,False,True,False,6
87,Speck e Rucola,Pizza,"tomato, cheese, smoked ham, pesto, parmesan, rocket",74,regular,False,True,False,6
87,Speck e Rucola,Pizza,"tomato, cheese, smoked ham, pesto, parmesan, rocket",122,family,False,True,False,6
88,Bella Genova,Pizza,"tomato, cheese, ham, salami, egg, bacon, pecorino",77,regular,False,True,False,7
88,Bella Genova,Pizza,"tomato, cheese, ham, salami, egg, bacon, pecorino",126,family,False,True,False,7
89,Ricotta e Salsiccia Fresca,Pizza,"cheese, ricotta, cherry tomato, onion, spinach, salsiccia",77,regular,False,True,False,6
89,Ricotta e Salsiccia Fresca,Pizza,"cheese, ricotta, cherry tomato, onion, spinach, salsiccia",126,family,False,True,False,6
90,Casereccia,Pizza,"tomato, cheese, salsiccia, mushroom, truffle sauce",82,regular,False,True,False,5
90,Casereccia,Pizza,"tomato, cheese, salsiccia, mushroom, truffle sauce",132,regular,False,True,False,5
91,Francese,Pizza,"tomato, cheese, ricotta, bresaola, chili, garlic, parsley, spicy cucumber relish, basil",77,regular,False,True,False,9
91,Francese,Pizza,"tomato, cheese, ricotta, bresaola, chili, garlic, parsley, spicy cucumber relish, basil",126,regular,False,True,False,9
92,Margherita e Mozzarella,Pizza,"tomato, mozzarella, basil",58,regular,True,True,False,3
92,Margherita e Mozzarella,Pizza,"tomato, mozzarella, basil",103,family,True,True,False,3
93,Pizza Porchetta,Pizza,"tomato, cheese, slices of piglet, potato, rocket, pesto",79,regular,False,True,False,6
93,Pizza Porchetta,Pizza,"tomato, cheese, slices of piglet, potato, rocket, pesto",128,family,False,True,False,6
94,Pancetta,Pizza,"tomato, cheese, pancetta, onion, spinach, sundried tomato, chicken",79,regular,False,True,False,7
94,Pancetta,Pizza,"tomato, cheese, pancetta, onion, spinach, sundried tomato, chicken",128,family,False,True,False,7
